愛煙家,あいえんか,名詞
愛し合う,あいしあう,動詞（複合動詞）
合図,あいず,動詞／名詞
アイススケート,あいすすけーと,名詞（カタ）
アイスホッケー,あいすほっけー,名詞（カタ）
間,あいだ,名詞
あいつ,あいつ,名詞
アイディア（アイデア）,あいでぃあ,名詞（カタ）
～合う,あう,動詞（複合成分）
青空,あおぞら,名詞
赤っぽい,あかっぽい,い形容詞（複合）
飽きっぽい,あきっぽい,い形容詞（複合）
飽きる,あきる,動詞
握手,あくしゅ,動詞／名詞
アクセル,あくせる,名詞（カタ）
明ける,あける,動詞
あご,あご,名詞
あこれる,あこがれる,動詞
脚,あし,名詞
足首,あしくび,名詞
あじさい,あじさい,名詞
味付け,あじつけ,動詞／名詞
味わう,あじわう,動詞
明日,あす,名詞／副詞
預ける,あずける,動詞
あそび,あそび,名詞
与える,あたえる,動詞
あたりまえ,あたりまえ,名詞
当たる,あたる,動詞
当たる,あたる,動詞
扱い,あつかい,名詞
扱う,あつかう,動詞
あっさり,あっさり,副詞
あっという間に,あっというまに,副詞（複合）
厚み,あつみ,名詞
当てる,あてる,動詞
アドバイス,あどばいす,動詞／名詞（カタ）
穴,あな,名詞
アナウンス,あなうんす,動詞／名詞（カタ）
油,あぶら,名詞
油っぽい,あぶらっぽい,い形容詞（複合）
甘い,あまい,い形容詞
雨具,あまぐ,名詞
アマチュア,あまちゅあ,名詞（カタ）
甘み,あまみ,名詞
アメリカンフットボール,あめりかんふっとぼーる,名詞（カタ）
怪しい,あやしい,い形容詞
改めて,あらためて,副詞
表す・表わす,あらわす,動詞
現れる・現われる,あらわれる,動詞
アリ,あり,名詞
有り難い,ありがたい,い形容詞
ある程度,あるていど,副詞（複合）
合わせる,あわせる,動詞
案外,あんがい,副詞
アンケート,あんけーと,名詞（カタ）
案の定,あんのじょう,副詞
言い合う,いいあう,動詞（複合動詞）
いい加減に,いいかげんに,副詞（複合）
言い間違い,いいまちがい,名詞
家中,いえじゅう,名詞
イエロー,いえろー,名詞（カタ）
意外,いがい,な形容詞
～以外,いがい,接辞（接尾語）
意外にも,いがいにも,副詞
いかが,いかが,副詞
いかにも,いかにも,副詞
生きる,いきる,動詞
（～て）いく（１）,いく,動詞（機能語）
（～て）いく（２）,いく,動詞（機能語）
居酒屋,いざかや,名詞
意識,いしき,動詞／名詞
異常,いじょう,な形容詞
以前（は）,いぜん　,副詞
板,いた,名詞
痛み,いたみ,名詞
いためる,いためる,動詞
一員,いちいん,名詞
一部,いちぶ,名詞
一生,いっしょう,名詞
一層,いっそう,副詞
いっぱい,いっぱい,名詞／副詞
一般,いっぱん,名詞
一般的,いっぱんてき,な形容詞
一服,いっぷく,動詞／名詞
一方,いっぽう,接続詞
一方,いっぽう,名詞
いとこ,いとこ,名詞
居間,いま,名詞
今では,いまでは,副詞
今でも,いまでも,副詞（複合）
今まで,いままで,副詞（複合）
イメージ,いめーじ,動詞／名詞（カタ）
いらいら,いらいら,副詞（擬態）
医療,いりょう,名詞
いわば,いわば,副詞
いわゆる,いわゆる,副詞
飲酒運転,いんしゅうんてん,名詞　
インタビュー,いんたびゅー,名詞（カタ）
ウイスキー,ういすきー,名詞（カタ）
ウイルス,ういるす,名詞（カタ）
ウインク,ういんく,動詞／名詞（カタ）
ウインドーショッピング,ういんどーしょっぴんぐ,動詞／名詞（カタ）
ウール,うーる,名詞（カタ）
浮かぶ,うかぶ,動詞
浮き上がる,うきあがる,動詞（複合動詞）
牛,うし,名詞
後ろ姿,うしろすがた,名詞
薄暗い,うすぐらい,い形容詞
うち,うち,名詞
うっかり,うっかり,副詞
美しい,うつくしい,い形容詞
腕,うで,名詞
うとうと,うとうと,副詞（擬態）
うなずく,うなずく,動詞
うまく,うまく,副詞
うまみ,うまみ,名詞
埋める,うめる,動詞
裏がある,うらがある,慣用句
裏切る,うらぎる,動詞
占い,うらない,名詞
占い師,うらないし,名詞
占う　,うらなう,動詞
売り上げ,うりあげ,名詞
雨量,うりょう,名詞
運,うん,名詞
運賃,うんちん,名詞
運転手,うんてんしゅ,名詞
影響,えいきょう,動詞／名詞
衛星放送,えいせいほうそう,名詞
栄養,えいよう,名詞
笑顔,えがお,名詞
SF映画,えすえふえいが,名詞
エスニック（料理）,えすにっくりょうり,名詞（カタ）
NK（細胞）,えぬけいさいぼう,名詞（固有）
エリート,えりーと,名詞（カタ）
得る,える,動詞
円,えん,名詞
演技,えんぎ,動詞／名詞
園芸,えんげい,名詞
園児,えんじ,名詞
エンスト,えんすと,動詞／名詞（カタ）
演奏,えんそう,動詞／名詞
～円玉,えんだま　,接辞（接尾語）
応援,おうえん,動詞／名詞
応じる,おうじる,動詞（～じる／ずる）
大雨,おおあめ,名詞
大方,おおかた,名詞
大阪城,おおさかじょう,名詞（固有）
オーバー,おーばー,な形容詞
オーバー,おーばー,動詞／名詞（カタ）
大ばか,おおばか,名詞／な形容詞
大昔,おおむかし,名詞
大家（さん）,おおや（さん）,名詞
大雪　,おおゆき,名詞
お金持ち,おかねもち,名詞
おかわり,おかわり,動詞／名詞
怒りっぽい,おこりっぽい,い形容詞（複合）
起こる,おこる,動詞
怒る,おこる,動詞
おごる,おごる,動詞
おじぎ,おじぎ,動詞／名詞
お邪魔します,おじゃまします,慣用句
お総菜,おそうざい,名詞
恐れ入る,おそれいる,動詞　
教わる,おそわる,動詞
お互い,おたがい,副詞
お互い様　,おたがいさま,名詞
落ち着く,おちつく,動詞
おでこ,おでこ,名詞
お年寄り,おとしより,名詞
訪れる,おとずれる,動詞
大人,おとな,名詞
おとなしい,おとなしい,い形容詞
大人っぽい,おとなっぽい,い形容詞（複合）
驚く,おどろく,動詞
鬼,おに,名詞
お似合い,おにあい,名詞
おにぎり,おにぎり,名詞
鬼ごっこ,おにごっこ,名詞
帯びる,おびる,動詞
オフィス,おふぃす,名詞（カタ）
お盆,おぼん,名詞
思い切り,おもいきり,副詞
思いつく,おもいつく,動詞
重み,おもみ,名詞
思わず,おもわず,副詞
親子,おやこ,名詞
おやつ,おやつ,名詞
親指,おやゆび,名詞
オリンピック,おりんぴっく,名詞（カタ）
お礼,おれい,名詞
オレンジ,おれんじ,名詞
～終わる,おわる,動詞（機能語）
温室,おんしつ,名詞
温暖化,おんだんか,名詞
温度,おんど,名詞
解決,かいけつ,動詞／名詞
外出,がいしゅつ,動詞／名詞
海水,かいすい,名詞
～回生,かいせい,接辞（接尾語）
快速（電車）,かいそく,名詞
快適,かいてき,な形容詞
飼い主,かいぬし,名詞
会費,かいひ,名詞
カウンター,かうんたー,名詞（カタ）
かえって,かえって,副詞
代える,かえる,動詞
香り,かおり,名詞
画家,がか,名詞
化学,かがく,名詞
化学調味料,かがくちょうみりょう,名詞
科学的,かがくてき,な形容詞
かかと,かかと,名詞
限る,かぎる,動詞
格言,かくげん,名詞
学習,がくしゅう,動詞／名詞
隠す,かくす,動詞
各地,かくち,名詞
格闘技,かくとうぎ,名詞
学費,がくひ,名詞
額縁,がくぶち,名詞
学歴,がくれき,名詞
隠れる,かくれる,動詞
かける,かける,動詞
掛ける,かける,動詞
過去,かこ,名詞
火災,かさい,名詞
重なる,かさなる,動詞
重ねる,かさねる,動詞
火山,かざん,名詞
賢い,かしこい,い形容詞
数,かず,名詞
肩,かた,名詞
片側,かたがわ,名詞
語り合う,かたりあう,動詞（複合動詞）
～がち,がち,接辞（機能語）
課長,かちょう,名詞
学期,がっき,名詞
かっこいい,かっこいい,い形容詞
学校中,がっこうじゅう,名詞
活発,かっぱつ,な形容詞　
カップル,かっぷる,名詞（カタ）
活躍,かつやく,動詞／名詞
家庭,かてい,名詞
門,かど,名詞
悲しみ,かなしみ,名詞
金づち,かなづち,名詞
必ずしも,かならずしも,副詞
金持ち,かねもち,名詞
可能,かのう,な形容詞
かび,かび,名詞
我慢,がまん,動詞／名詞
髪型,かみがた,名詞
神様,かみさま,名詞
かみつく,かみつく,動詞
雷,かみなり,名詞
仮眠,かみん,名詞
カメラマン,かめらまん,名詞（カタ）
がらがら,がらがら,な形容詞
カラス,からす,名詞
体つき,からだつき,名詞
からっと,からっと,副詞
空手,からて,名詞
辛み,からみ,名詞
がらりと,がらりと,副詞
下流,かりゅう,名詞
軽く,かるく,副詞
ガレージ,がれーじ,名詞（カタ）
彼ら,かれら,名詞
乾かす,かわかす,動詞
川下り,かわくだり,名詞
交す,かわす,動詞
代わり,かわりに,名詞
代わる,かわる,動詞
～感,かん,接辞（接尾語）
ガン,がん,名詞
考えごと,かんがえごと,名詞
かんかんに,かんかんに,副詞（擬態）
観客,かんきゃく,名詞
環境,かんきょう,名詞
関係者,かんけいしゃ,名詞
漢語,かんご,名詞
観光地,かんこうち,名詞
看護婦,かんごふ,名詞
観察,かんさつ,動詞／名詞
鑑賞,かんしょう,動詞／名詞
感じる,かんじる,動詞（～じる／ずる）
感心,かんしん,動詞／名詞
関心,かんしん,名詞
関する,かんする,動詞
完成編,かんせい,動詞／名詞
完全に,かんぜんに,副詞
感想,かんそう,名詞
感想文,かんそうぶん,名詞
関東（地方）,かんとう,名詞（固有）
館内,かんない,名詞
願望,がんぼう,動詞／名詞
漢和（辞典）,かんわ（じてん）,名詞
キーキー,きーきー,副詞（擬音）
議員,ぎいん,名詞
気温,きおん,名詞
気がする,きがする,慣用句
気軽に,きがるに,副詞
期間,きかん,名詞
機関,きかん　,名詞
企業,きぎょう,名詞
きく,きく,動詞
気候,きこう,名詞
帰国,きこく,動詞／名詞
記事,きじ,名詞
技師,ぎし,名詞
気象（庁）,きしょう（ちょう）,名詞
帰省,きせい,動詞／名詞
期待,きたい,動詞／名詞
帰宅,きたく,動詞／名詞
喫煙,きつえん,動詞／名詞
きつね,きつね,名詞
気に入る,きにいる,慣用句
ギネスブック,ぎねすぶっく,名詞（固有）（カタ）
記念,きねん,動詞／名詞
きのこ,きのこ,名詞
希望,きぼう,動詞／名詞
基本的,きほんてき,な形容詞
期末（試験）,きまつ（しけん）,名詞
決まる,きまる,動詞
義務,ぎむ,名詞
疑問,ぎもん,名詞
ギャーギャー,ぎゃーぎゃー,副詞（擬音）
逆に,ぎゃくに,副詞
ギャンブル,ぎゃんぶる,名詞（カタ）
球,きゅう,名詞
休憩室,きゅうけいしつ,名詞
休憩所,きゅうけいじょ,名詞
旧作,きゅうさく,名詞
急ブレーキ,きゅうぶれーき,名詞（カタ）
急用,きゅうよう,名詞
ぎゅっ（と）,ぎゅっと,副詞
競技場,きょうぎじょう,名詞
教授,きょうじゅ,名詞
教習所,きょうしゅうじょ,名詞
競争,きょうそう,動詞／名詞
強調,きょうちょう,動詞／名詞
共通,きょうつう,動詞／名詞
共通点,きょうつうてん,名詞
行列,ぎょうれつ,名詞
漁業,ぎょぎょう,名詞
距離,きょり,名詞
霧,きり,名詞
記録,きろく,名詞
金（色）,きん,名詞
銀（色）,ぎん,名詞
金閣寺,きんかくじ,名詞
空室,くうしつ,名詞
空車,くうしゃ,名詞
グーチョキパー,ぐーちょきぱー,名詞
クーラー,くーらー,名詞（カタ）
臭い,くさい,い形容詞
腐る,くさる,動詞
くすくす,くすくす,副詞（擬態）
薬指,くすりゆび,名詞
崩れる,くずれる,動詞
具体的,ぐたいてき,な形容詞
下る,くだる,動詞
くちばし,くちばし,名詞
唇,くちびる,名詞
ぐっすり,ぐっすり,副詞（擬態）
くっつく,くっつく,動詞
首,くび,名詞
首飾り,くびかざり,名詞
首になる,くびになる,慣用句
工夫,くふう,動詞／名詞
区別,くべつ,動詞／名詞
組む,くむ,動詞
雲,くも,名詞
クラクション,くらくしょん,名詞（カタ）
暮らす,くらす,動詞
グラス,ぐらす,名詞（カタ）
クラス中,くらすじゅう,名詞（カタ）
グラフィック,ぐらふぃっく,名詞（カタ）
比べる,くらべる,動詞
グリーン,ぐりーん,名詞（カタ）
繰り返す,くりかえす,動詞
（～て）くる（２）,くる,動詞（機能語）
